Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
770.0,황만근은 이렇게 말했다,,363224,성석제,False,창비,2002-06-25,14000,12600,8970.0,소설/시/희곡,2005년2월1주
196.0,CEO 히딩크,,363402,이동현.김화성,False,바다출판사,2002-06-25,12000,10800,1363.0,자기계발,2002년8월3주
539.0,화개,,363497,김지하,False,기타 출판사,2002-06-25,7000,6300,476.0,소설/시/희곡,2002년8월3주
165.0,죽은 자가 무슨 말을,,364018,필립 K. 딕,True,기타 출판사,2002-06-25,8500,7650,883.0,소설/시/희곡,2002년8월3주
808.0,일상사란 무엇인가,,364078,알프 뤼트케,True,기타 출판사,2002-06-25,28000,25200,374.0,역사,2002년8월3주
47.0,마님되는 법,,363542,진산,False,기타 출판사,2002-06-27,8000,7200,1215.0,요리/살림,2002년8월3주
367.0,꽃으로도 아이를 때리지 말라,,364948,박홍규,False,기타 출판사,2002-06-27,11000,9900,856.0,사회과학,2002년8월3주
146.0,예수는 신화다,,363217,티모시 프리크 & 피터 갠디,True,기타 출판사,2002-06-28,12000,10800,631.0,종교/역학,2002년8월3주
72.0,상속,,363805,은희경,False,문학과지성사,2002-06-28,11000,9900,2063.0,소설/시/희곡,2002년8월3주
759.0,동방 기독교와 동서문명,,363973,김호동,False,까치,2002-06-28,15000,13500,789.0,역사,2002년8월3주
118.0,중화요리에 담긴 중국,,363978,고광석,False,기타 출판사,2002-06-28,10000,9000,449.0,요리/살림,2002년8월3주
401.0,떡갈나무 바라보기,,364134,주디스 콜. 허버트 콜,True,사계절,2002-06-28,10500,9450,3418.0,청소년,2002년8월3주
996.0,3분 프레젠테이션이면 영어가 보인다 2,,365467,이정훈.소리클럽,False,기타 출판사,2002-06-28,19500,17550,252.0,외국어,2002년8월3주
