BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category
"[ 694   82 1022  147  185  627 1456  306    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26110,1245,True,0,1993-05-01,13800,12420,1485.0,[51  0  0  0  0]
"[  36    2 1123  171  858   12    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],28314,200,False,7,1993-05-01,13000,11700,6770.0,[15  0  0  0  0]
"[2382    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],77430,1190,True,5,1993-07-01,8500,7650,8859.0,[18  0  0  0  0]
"[ 36   6 230 167  37 506  53  36 227   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],27506,0,True,0,1993-08-01,6500,5850,332.0,[18  0  0  0  0]
"[ 314  245 6856    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],21582,1784,False,0,1993-08-15,11000,9900,4156.0,[15  0  0  0  0]
"[2759 1509    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4103,1799,True,27,1993-08-30,13000,11700,393.0,[32 22  0  0  0]
"[6746 7857    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],13667,0,False,0,1993-09-01,3000,2700,242.0,[43  1 44  0  0]
"[7835  594    2  109    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],99282,0,False,26,1993-09-01,6500,5850,17.0,[43  1 44  0  0]
"[ 215 1108 2047   82    6  123    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],134224,2021,True,43,1993-10-01,10000,9000,3827.0,[16 17  0  0  0]
"[ 420  102 1356    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],116296,58,True,0,1993-11-01,9000,8100,527.0,[154 121   1 159 161]
"[1073 2736  248  187    2  981   37 7638    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],155121,0,False,0,1993-11-01,4000,3600,164.0,[4 1 3 1 5]
