순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
601.0,국내도서,50일간의 유럽 미술관 체험 1,2038,9788985846066,,이주헌 지음,학고재,1995-06-01,15000,13500,750점,1505.0,예술/대중문화,2002년8월3주
927.0,국내도서,50일간의 유럽 미술관 체험 2,2039,9788985846073,,이주헌 지음,학고재,1995-06-01,15000,13500,750점,947.0,예술/대중문화,2001년1월3주
908.0,국내도서,아리랑 11,189823,9788973370535,,조정래,해냄,1995-07-01,6800,6120,340점,200.0,소설/시/희곡,2001년1월3주
584.0,국내도서,"시험에 나오는 TOEIC 단어, 숙어",88173,9788917270969,,이소영 지음,와이비엠,1995-07-01,15000,13500,750점,80.0,외국어,2001년1월3주
199.0,국내도서,중학생이 알아야 할 시,136765,9788935904020,3810.0,구인환 엮음,신원문화사,1995-08-01,7000,6300,350점,1257.0,청소년,2002년8월3주
290.0,국내도서,로마인 이야기 1,44607,9788935610242,4900.0,"시오노 나나미 지음, 김석희 옮김",한길사,1995-09-01,15500,13950,770점,12777.0,역사,2002년8월3주
867.0,국내도서,로마인 이야기 2,44608,9788935610259,4900.0,"시오노 나나미 지음, 김석희 옮김",한길사,1995-09-01,18500,16650,920점,9517.0,역사,2005년2월1주
74.0,국내도서,ONE TO ONE,182653,9788932852249,93230.0,IVP(한국기독학생회출판부) 편집부 엮음,IVP,1995-09-20,2800,2660,20점,3152.0,종교/역학,2001년1월3주
614.0,국내도서,무엇을 어떻게 쓸까,51158,9788985494540,,이오덕 지음,보리,1995-10-01,6000,5400,300점,689.0,좋은부모,2005년2월1주
360.0,국내도서,로마인 이야기 3,44609,9788935610266,4900.0,"시오노 나나미 지음, 김석희 옮김",한길사,1995-11-01,15500,13950,770점,8003.0,역사,2002년8월3주
228.0,국내도서,그 산이 정말 거기 있었을까,19395,9788901017617,,박완서 지음,웅진지식하우스,1995-12-01,7000,6300,350점,1280.0,소설/시/희곡,2002년8월3주
785.0,국내도서,밥짓는 시인 퍼주는 사랑 1,57955,9788970901015,,최일도 지음,동아일보사,1995-12-01,5000,4500,250점,40.0,에세이,2001년1월3주
648.0,국내도서,밥짓는 시인 퍼주는 사랑 2,57956,9788970901022,,최일도 지음,동아일보사,1995-12-01,5000,4500,250점,33.0,에세이,2001년1월3주
878.0,국내도서,백성의 것을 억지로 빼앗지 마라,58882,9788943540050,,윤재근,아침나라(둥지),1995-12-01,6500,5850,320점,21.0,인문학,2002년8월3주
701.0,국내도서,그 많던 싱아는 누가 다 먹었을까,21118,9788901017600,3810.0,박완서 지음,웅진지식하우스,1995-12-15,7000,6300,350점,9948.0,소설/시/희곡,2005년2월1주
821.0,국내도서,이 시대를 사는 따뜻한 부모들의 이야기 1,116004,9788934902690,,이민정 지음,김영사,1995-12-26,9900,8910,490점,5131.0,좋은부모,2005년2월1주
